host_id,AGG_COUNT,host_total_listings_count,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,bedrooms,accommodates,rounded_revenue,days_rented
"11157074","1","1","1","0","0","1","4","0","0"
"111624564","1","1","1","0","0","1","2","0","0"
"111690550","1","1","1","0","0","1","2","0","0"
"111716708","2","4","2","2","0","3","10","2763","55"
"111765421","1","8","1","1","1","3","10","720","7"
"111795735","1","1","0","1","0","1","4","0","0"
"111908811","2","6","2","2","2","9","20","3833","10"
"111920722","1","1","1","1","0","2","4","371","7"
"112204966","1","3","1","0","1","1","4","170","3"
"112235660","1","1","1","1","0","2","4","1262","14"
"11232268","1","2","1","0","0","1","2","0","0"
"1123662","2","4","2","2","0","3","5","3119","28"
"11236933","1","1","1","1","0","1","4","2184","22"
"112506304","5","25","5","2","5","6","14","28019","388"
"1125067","1","2","1","1","0","2","4","3008","33"
"1125260","21","1176","21","21","21","20","89","45114","606"
"112662579","1","1","1","0","0","1","2","668","14"
"11268970","1","1","1","1","0","1","4","0","0"
"112700312","1","2","1","1","0","1","4","668","14"
"11282535","1","1","1","1","0","1","2","0","0"
"11283689","1","1","1","1","0","1","2","0","0"
"112860924","1","1","1","1","0","2","5","0","0"
"112998992","4","16","4","1","4","5","14","1577","62"
"113007410","1","1","1","1","0","1","2","0","0"
"11316647","2","4","2","2","0","3","10","423","3"
"113349416","1","2","1","1","0","2","6","19548","70"
"113486443","1","1","1","1","0","1","4","2819","40"
"113653798","1","1","1","1","0","1","3","0","0"
"11367381","1","1","1","1","0","1","5","0","0"
"113676570","2","2","2","2","0","3","7","3744","78"
"11369661","1","1","1","1","0","2","6","0","0"
"113883","2","4","2","1","0","8","18","0","0"
"11393768","1","1","1","0","0","1","3","0","0"
"114011294","1","1","1","1","0","2","4","222","3"
"114052432","1","0","1","1","0","1","4","423","3"
"114110083","1","3","1","1","1","1","4","0","0"
"114135383","2","14","2","2","2","5","12","1622","6"
"114253061","25","675","24","25","25","49","114","61044","686"
"114345084","1","1","1","0","0","1","2","0","0"
"11449063","1","1","1","1","0","1","2","3588","52"
"11449807","2","10","2","2","2","5","11","21003","170"
"114510703","1","1","1","1","0","3","6","1337","7"
"114516850","1","1","1","1","0","2","4","0","0"
"11455596","2","2","2","2","0","4","9","1727","18"
"11455742","1","1","1","1","0","1","5","0","0"
"114639239","8","80","8","8","8","8","32","494","3"
"114660024","1","1","1","1","0","1","3","0","0"
"11466683","1","1","1","1","0","1","4","1671","18"
"114771912","1","1","1","1","0","2","6","1337","14"
"114843082","1","1","0","1","0","2","4","1560","26"
"11486420","1","1","1","0","0","1","1","0","0"
"114925919","2","4","2","2","0","6","14","6064","25"
"11500612","2","0","2","2","0","2","7","0","0"
"115355927","1","2","1","1","0","3","6","2154","18"
"115456619","1","0","1","1","0","2","4","0","0"
"115549959","2","4","2","2","0","2","7","482","7"
"11562582","3","15","3","3","3","3","6","17181","218"
"1156397","1","1","1","1","0","2","4","1560","14"
"115693421","1","1","1","1","0","1","2","0","0"
"11572377","1","0","1","0","0","1","2","0","0"
"115915200","1","1","1","1","0","1","4","631","7"
"115933372","1","1","1","1","0","1","2","0","0"
"115947640","1","1","1","1","0","2","3","438","7"
"11601081","5","25","5","0","5","5","12","3311","102"
"116019124","1","4","1","1","1","1","2","0","0"
"116050579","1","1","1","1","0","1","4","1515","14"
"116057479","1","1","1","1","0","2","4","334","3"
"116058305","1","1","1","1","0","3","5","0","0"
"116067272","1","1","1","0","0","1","2","0","0"
"116186335","1","1","1","1","0","1","6","1597","37"
"11619089","1","1","0","1","0","2","6","817","7"
"116197236","1","1","1","1","0","2","5","6091","74"
"116223813","1","4","1","1","1","3","8","0","0"
"116517861","2","4","2","2","0","2","8","6076","43"
"116736816","1","0","1","1","0","2","5","0","0"
"1167827","1","1","1","1","0","3","5","928","7"
"116803908","1","1","0","1","0","1","4","2860","40"
"11680678","10","120","1","10","10","13","38","14593","198"
"116811174","1","2","1","0","0","1","2","891","29"
"116812462","1","1","1","0","0","1","2","0","0"
"11683876","1","1","1","0","0","1","2","0","0"
"11687688","1","1","1","1","0","1","4","698","7"
"1168814","1","2","1","1","0","1","4","334","3"
"116937575","1","1","1","1","0","2","3","0","0"
"1169561","3","9","3","3","3","2","12","2413","36"
"116974707","1","1","1","1","0","1","3","0","0"
"11701916","8","48","8","0","8","9","23","13470","317"
"1170921","1","1","1","1","0","2","4","0","0"
"117135317","1","1","1","0","0","1","2","0","0"
"117152024","1","1","1","0","0","1","1","52","3"
"11717603","1","2","1","1","0","1","4","0","0"
"117302359","1","1","1","1","0","4","8","0","0"
"117430127","1","1","1","1","0","1","3","7421","137"
"117452769","5","20","5","4","5","9","21","5121","44"
"117453286","1","1","1","1","0","3","5","0","0"
"117594827","1","1","1","1","0","1","2","6908","115"
"11780175","1","0","1","1","0","1","4","0","0"
"117809814","1","1","1","0","0","1","1","0","0"
"117971859","2","4","2","1","0","3","9","256","3"
"118058902","1","0","1","1","0","1","4","256","3"
"11808313","1","1","1","1","0","1","4","2083","40"
"118105139","2","0","2","0","0","4","6","111","3"
"11812692","1","1","1","0","0","1","2","0","0"
"1181617","1","1","1","1","0","1","2","1574","29"
"11816313","1","1","1","1","0","3","4","0","0"
"118177131","4","16","4","0","4","4","10","13868","407"
"118207482","1","1","1","1","0","2","4","0","0"
"11824095","3","6","3","3","0","2","7","742","14"
"1184498","2","2","2","0","0","2","4","4472","159"
"1184644","8","160","8","8","8","13","32","21592","186"
"11849185","4","20","4","4","4","17","37","21074","91"
"118544464","2","4","2","2","0","3","8","23755","311"
"118560553","1","1","1","1","0","2","3","0","0"
"118631295","1","1","1","1","0","1","4","0","0"
"11867344","3","9","3","3","3","3","12","0","0"
"118690438","1","1","1","0","0","1","2","0","0"
"118710407","1","1","1","1","0","1","4","0","0"
"118847958","1","1","1","1","0","2","3","0","0"
"118850477","1","0","1","1","0","2","4","0","0"
"118956463","6","54","6","6","6","22","59","61398","202"
"11898591","1","1","1","1","0","1","2","7187","55"
"119113341","1","1","1","1","0","1","4","178","3"
"11925047","2","6","2","2","2","2","4","601","10"
"11925757","11","297","11","1","11","15","45","4088","28"
"119285432","1","2","1","1","0","1","4","0","0"
"11929875","1","1","1","1","0","2","3","980","11"
"119321826","1","1","1","0","0","1","2","0","0"
"119437248","1","1","1","1","0","1","4","0","0"
"119591082","2","6","2","2","2","3","11","18730","181"
"119633891","2","4","2","2","0","1","8","159","3"
"11965164","1","1","1","0","0","1","1","0","0"
"119746760","2","4","1","0","0","2","4","178","3"
"119965794","1","1","1","1","0","2","4","0","0"
"11996749","1","1","1","1","0","2","7","4862","40"
"120136521","1","2","1","1","0","1","2","0","0"
"12019673","1","1","1","0","0","1","2","185","3"
"120212253","1","1","1","1","0","1","4","1905","33"
"12022326","1","1","0","1","0","1","4","0","0"
"12025097","1","1","1","1","0","1","2","0","0"
"120271769","1","6","1","1","1","1","1","594","14"
"120386633","1","1","1","1","0","1","4","0","0"
"12049698","1","1","1","1","0","2","5","0","0"
"120500032","1","0","1","1","0","1","2","0","0"
"120506927","1","1","1","1","0","1","5","0","0"
"12053607","1","0","1","1","0","2","6","0","0"
"120673146","1","1","1","1","0","2","4","7870","48"
"120686784","6","24","6","6","6","13","35","18870","165"
"120686796","2","2","2","2","0","6","12","2117","11"
"1206885","1","1","0","0","0","1","2","3045","74"
"120733706","1","2","1","1","0","2","4","0","0"
"12076415","1","1","1","1","0","1","4","0","0"
"120876480","1","1","1","1","0","2","5","0","0"
"12089199","4","16","4","4","4","4","15","1485","17"
"12092397","1","1","1","1","0","1","4","0","0"
"120964382","1","2","1","0","0","1","1","282","7"
"1210157","1","1","1","1","0","2","4","0","0"
"12105696","1","0","0","1","0","1","2","557","7"
"121080571","3","0","3","3","0","4","10","497","3"
"12109193","1","1","1","1","0","1","2","0","0"
"1211140","1","3","1","1","1","1","4","0","0"
"12116818","4","16","4","4","4","4","15","4178","55"
"121198239","1","1","1","1","0","2","5","1485","18"
"121210988","1","1","1","1","0","1","2","750","7"
"121234927","1","1","1","0","0","1","2","0","0"
"121313597","1","1","1","1","0","2","4","0","0"
"121324007","1","1","1","1","0","2","4","0","0"
"121331148","4","4","4","4","0","9","18","9824","40"
"121397417","1","1","1","1","0","1","4","0","0"
"12144888","3","0","3","3","0","3","6","497","9"
"1214786","2","16","2","2","2","3","9","23302","204"
"121529382","1","1","1","1","0","4","7","1485","14"
"121538021","1","0","1","1","0","3","7","0","0"
"12156223","1","1","0","1","0","0","4","0","0"
"1215999","2","6","2","2","2","5","10","9292","40"
"121658058","1","1","1","1","0","2","6","0","0"
"12176387","2","6","2","2","2","4","11","0","0"
"12182373","1","22","1","1","1","2","6","0","0"
"121994478","1","1","1","1","0","1","4","1300","26"
"122048407","1","0","1","1","0","1","2","0","0"
"12206431","1","2","1","0","0","1","1","0","0"
"1220776","1","0","1","0","0","1","2","0","0"
"12208198","1","1","1","1","0","1","4","724","11"
"12215960","1","1","1","1","0","2","7","0","0"
"122207844","1","2","1","0","0","1","2","0","0"
"122211467","3","9","3","0","3","3","6","0","0"
"122224401","1","1","1","1","0","2","7","0","0"
"122224707","1","2","0","1","0","1","4","7354","74"
"12228886","1","1","1","0","0","1","1","0","0"
"1224280","2","4","2","1","0","5","12","315","3"
"122474267","2","4","2","2","0","3","7","21995","196"
"12248934","1","1","1","0","0","1","2","0","0"
"12249207","3","9","1","3","3","7","18","16424","63"
"122493408","1","1","1","1","0","1","3","0","0"
"12256114","1","1","1","1","0","1","4","0","0"
"12258133","1","1","1","1","0","1","2","702","11"
"12267567","1","1","1","1","0","1","2","0","0"
"12281141","1","1","1","1","0","1","2","0","0"
"122834023","1","1","1","0","0","1","2","0","0"
"122875988","1","3","1","1","1","1","4","364","7"
"122905433","2","4","2","0","0","2","5","0","0"
"12298361","1","1","1","1","0","1","2","3120","44"
"12316952","2","4","2","0","0","2","2","144","6"
"123185001","6","60","6","1","6","13","26","35701","630"
"12320380","9","9","9","0","0","16","33","1718","24"
"12323329","2","4","0","2","0","0","6","6982","77"
"123234393","1","1","0","0","0","1","2","170","3"
"123249843","6","36","6","0","6","6","16","18855","376"
"123275032","3","6","3","3","0","6","17","8483","62"
"123281390","1","1","1","1","0","1","2","0","0"
"123372100","1","1","1","0","0","1","5","0","0"
"12348967","1","1","1","1","0","1","2","0","0"
"123607414","1","1","1","1","0","2","6","891","14"
"12365317","3","9","3","3","3","2","7","1466","17"
"1236601","1","1","1","1","0","2","4","0","0"
"123719537","1","1","1","1","0","1","2","2366","48"
"123830215","2","4","2","0","0","2","3","0","0"
"123886857","1","1","1","1","0","2","3","0","0"
"123903799","1","0","1","1","0","2","5","260","3"
"123917214","1","1","1","1","0","1","4","7844","118"
"12393905","2","4","2","1","0","2","6","0","0"
"123983738","1","1","1","1","0","1","4","0","0"
"123990805","2","4","2","2","0","3","10","12702","66"
"124013921","1","0","1","1","0","2","4","0","0"
"12409953","1","2","1","0","0","1","1","464","18"
"12411083","1","4","1","0","1","1","2","1485","14"
"1241330","1","1","1","1","0","3","7","0","0"
"12416616","1","1","1","1","0","1","2","0","0"
"124201799","1","4","1","1","1","2","5","0","0"
"124211564","2","4","2","2","0","2","8","4044","40"
"124235468","1","1","1","1","0","2","6","1352","14"
"124237036","4","20","4","4","4","6","17","958","11"
"124240910","2","4","2","0","0","3","8","12550","144"
"124247941","3","18","3","2","3","4","8","5697","96"
"12438204","2","12","2","2","2","5","11","0","0"
"124393416","1","1","1","0","0","0","2","1337","29"
"12453010","3","9","3","0","3","3","5","1054","47"
"124595424","1","1","1","1","0","1","4","6685","92"
"124692230","1","1","1","1","0","1","2","0","0"
"124699247","1","1","0","1","0","1","4","0","0"
"12480503","1","1","1","1","0","1","4","482","7"
"124962763","1","2","1","1","0","1","4","0","0"
"1250315","3","24","3","0","3","3","8","1719","58"
"125212552","1","1","1","1","0","2","4","0","0"
"12533789","14","182","14","14","14","23","61","20140","204"
"12535372","1","2","1","1","0","1","3","2897","48"
"12540914","1","1","1","1","0","1","3","0","0"
"125559026","1","2","1","1","0","2","6","1077","3"
"125721071","1","1","1","1","0","2","6","7057","74"
"12572390","5","30","5","5","5","6","13","27891","276"
"1259443","1","2","1","1","0","2","3","3209","22"
"126057867","2","4","0","2","0","4","10","0","0"
"12610576","1","3","1","1","1","1","2","0","0"
"12611168","1","1","1","1","0","3","4","0","0"
"12613373","1","1","0","1","0","1","3","0","0"
"12613990","1","1","1","0","0","1","2","0","0"
"12627034","1","2","1","1","0","1","3","980","3"
"12628055","1","4","1","1","1","5","11","11142","11"
"12635131","1","1","1","1","0","1","4","0","0"
"12638197","1","0","1","0","0","1","2","185","7"
"126427384","1","4","1","1","1","3","5","0","0"
"126557663","2","4","2","0","0","2","7","0","0"
"126576914","1","1","1","0","0","1","2","0","0"
"126614170","1","0","1","0","0","1","2","0","0"
"126627288","1","3","1","1","1","1","2","3149","59"
"126640667","1","1","1","1","0","2","6","0","0"
"12684759","2","6","2","2","2","2","4","4590","118"
"126866494","2","6","2","1","2","3","9","757","3"
"126869207","4","16","4","1","4","6","12","0","0"
"1269265","3","9","3","3","3","4","11","0","0"
"12693723","1","1","1","1","0","1","3","15243","200"
"12693731","3","12","3","3","3","3","9","14901","263"
"12694886","3","12","2","3","3","6","15","28039","225"
"12695896","1","1","1","1","0","3","5","5359","48"
"127153513","3","9","3","0","3","3","8","334","3"
"12720463","1","2","1","0","0","1","2","0","0"
"12754053","1","1","0","1","0","1","4","7506","174"
"12767636","1","1","1","1","0","1","2","0","0"
"127739639","1","1","1","1","0","1","4","0","0"
"12791432","1","2","1","1","0","1","4","0","0"
"127968012","1","0","1","1","0","1","3","0","0"
"12796967","1","2","1","0","0","1","2","846","14"
"128026064","1","1","1","1","0","1","4","0","0"
"1280806","15","345","15","10","15","21","51","0","0"
"128392666","1","1","1","1","0","2","6","3491","37"
"128427899","2","4","1","2","0","3","8","0","0"
"128499966","1","1","1","1","0","1","5","0","0"
"128519309","1","1","1","1","0","1","4","460","7"
"128525476","1","0","1","1","0","1","4","6819","133"
"12853556","7","49","6","0","7","7","16","3137","39"
"128547100","4","324","4","4","4","6","16","1967","25"
"128579972","1","1","1","1","0","1","4","0","0"
"1286344","2","6","2","2","2","2","6","1782","6"
"128776907","1","1","1","0","0","2","1","0","0"
"128785592","4","12","4","4","4","1","11","6588","83"
"128815319","1","0","1","1","0","2","2","594","7"
"128897368","1","1","1","1","0","2","4","0","0"
"12890807","3","3","3","1","0","5","12","0","0"
"129005232","1","1","1","1","0","2","6","9048","52"
"129216","11","198","11","11","11","17","44","21116","124"
"129369970","1","0","1","1","0","2","5","2941","29"
"129373922","1","1","1","0","0","1","2","204","3"
"129423261","1","2","1","1","0","1","2","0","0"
"12943595","1","1","1","1","0","1","3","3528","70"
"12952600","2","14","2","2","2","4","9","1671","37"
"129581940","1","1","1","1","0","1","3","2362","44"
"129678337","1","1","1","1","0","1","2","1671","33"
"129746847","4","16","4","4","4","6","18","9730","140"
"12978744","1","0","1","0","0","1","1","260","7"
"12979503","1","1","1","0","0","1","2","1225","55"
"12982157","2","88","2","2","2","2","6","542","7"
"12982213","1","2","1","1","0","1","2","1931","37"
"129855763","1","1","1","1","0","1","4","549","14"
"129875802","2","6","2","2","2","1","6","2748","51"
"12987920","1","2","1","0","0","1","2","557","11"
"129887832","1","0","1","1","0","1","3","0","0"
"129959907","1","1","1","1","0","1","3","0","0"
"130133830","5","35","5","5","5","5","21","3987","87"
"130226595","1","1","1","0","0","1","2","0","0"
"13024531","1","1","1","1","0","1","4","0","0"
"130255323","1","1","1","1","0","2","4","0","0"
"1302596","1","1","0","1","0","2","4","0","0"
"130306490","1","2","1","0","0","1","2","393","7"
"130371897","1","1","1","1","0","1","3","5697","96"
"130404102","3","9","3","3","3","5","12","0","0"
"130408343","1","1","1","1","0","1","2","1270","22"
"130443677","1","1","1","1","0","1","4","0","0"
"13050508","8","40","8","8","8","10","25","11135","148"
"130533985","2","2","2","2","0","2","5","423","3"
"130565532","1","1","1","1","0","1","4","0","0"
"130573293","1","1","0","1","0","1","2","4798","126"
"13058296","1","1","1","1","0","1","4","8450","130"
"13062364","1","1","1","1","0","2","5","0","0"
"13068622","2","12","2","2","2","2","4","25658","371"
"130737544","1","1","1","1","0","2","6","791","3"
"131039753","3","354","3","3","3","3","9","0","0"
"131053477","1","0","1","1","0","1","2","0","0"
"13117280","2","4","2","2","0","2","6","0","0"
"13119188","3","9","3","0","3","2","10","7932","222"
"13123597","1","1","1","0","0","1","1","300","11"
"1312711","1","1","1","0","0","1","2","0","0"
"1312791","1","1","1","1","0","1","4","4234","55"
"13146441","1","1","1","1","0","1","4","263","3"
"131579536","1","3","1","1","1","1","2","0","0"
"131587443","1","0","1","1","0","1","4","308","3"
"131596737","1","1","1","0","0","1","2","0","0"
"131612573","1","1","1","1","0","2","4","360","3"
"131639087","1","1","1","1","0","2","4","594","7"
"131669311","2","6","2","2","2","2","8","5924","70"
"13174140","1","1","1","1","0","1","2","445","7"
"131748428","1","1","1","0","0","1","2","0","0"
"131787972","1","1","1","0","0","1","2","0","0"
"13187777","1","2","1","1","0","2","4","1782","11"
"131884559","1","2","1","1","0","1","3","0","0"
"13197045","1","1","1","1","0","1","4","0","0"
"13199273","1","2","1","1","0","2","4","0","0"
"13216828","1","0","1","1","0","1","4","215","3"
"132178937","1","1","1","1","0","1","3","0","0"
"13221319","2","2","2","2","0","5","12","4167","29"
"132328097","1","1","1","0","0","0","2","0","0"
"13235304","1","1","1","1","0","1","2","1092","22"
"132365579","1","2","1","1","0","3","7","0","0"
"132454403","2","4","2","2","0","2","7","0","0"
"132461969","1","1","1","1","0","2","3","278","3"
"132484367","2","4","2","2","0","3","8","0","0"
"132491353","1","2","1","1","0","1","2","0","0"
